Name,Type,Latitude,Longitude,Location,Wikipedia link,Picture link,Year Built
Great Pyramid of Giza,Ancient,29.97916667,31.13416667,"Giza Necropolis, Egypt",http://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/300px-Kheops-Pyramid.jpg,2560 BC
Stonehenge,Medieval,51.17861111,-1.826111111,"Amesbury, United Kingdom",http://en.wikipedia.org/wiki/Stonehenge,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Stonehenge%2C_Condado_de_Wiltshire%2C_Inglaterra%2C_2014-08-12%2C_DD_09.JPG/285px-Stonehenge%2C_Condado_de_Wiltshire%2C_Inglaterra%2C_2014-08-12%2C_DD_09.JPG,2400 BC
Lighthouse of Alexandria,Ancient,31.21388889,29.88555556," Alexandria, Egypt",http://en.wikipedia.org/wiki/Lighthouse_of_Alexandria,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Lighthouse_-_Thiersch.gif/220px-Lighthouse_-_Thiersch.gif,280 BC
Hanging Gardens of Babylon,Ancient,33.5355,44.2475,Iraq,http://en.wikipedia.org/wiki/Hanging_Gardens_of_Babylon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Hanging_Gardens_of_Babylon.jpg/350px-Hanging_Gardens_of_Babylon.jpg,600 BC
Hagia Sophia,Medieval,41.008548,28.979938,"Istanbul, Turkey",http://en.wikipedia.org/wiki/Hagia_Sophia,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/250px-Hagia_Sophia_Mars_2013.jpg,537 AD
Colossus of Rhodes,Ancient,36.4511,28.2278,Greece,http://en.wikipedia.org/wiki/Colossus_of_Rhodes,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Colosse_de_Rhodes_%28Barclay%29.jpg/170px-Colosse_de_Rhodes_%28Barclay%29.jpg,292 BC
Mausoleum at Halicarnassus,Ancient,37.03777778,27.42416667,"Bodrum, Turkey",http://en.wikipedia.org/wiki/Mausoleum_at_Halicarnassus,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Mausoleum_of_Halicarnassus_2009.jpg/240px-Mausoleum_of_Halicarnassus_2009.jpg, 353 BC
Statue of Zeus at Olympia,Ancient,37.63777778,21.63,Greece,http://en.wikipedia.org/wiki/Statue_of_Zeus_at_Olympia,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Statue_of_Zeus.jpg/220px-Statue_of_Zeus.jpg, 466 BC
Temple of Artemis at Ephesus,Ancient,37.94972222,27.36388889,Turkey,http://en.wikipedia.org/wiki/Temple_of_Artemis,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Miniaturk_009.jpg/300px-Miniaturk_009.jpg, 550 BCE
Golden Gate Bridge,Civil,37.81972222,-122.4786111,"San Francisco,  United States",http://en.wikipedia.org/wiki/Golden_Gate_Bridge,http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Golden_Gate_Bridge_0002.jpg/270px-Golden_Gate_Bridge_0002.jpg,1933 AD
CN Tower,Civil,43.6425,-78.61305556,"Toronto, Canada.",http://en.wikipedia.org/wiki/CN_Tower,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toronto_-_ON_-_Toronto_Harbourfront7.jpg/240px-Toronto_-_ON_-_Toronto_Harbourfront7.jpg,1973 AD
Channel Tunnel,Civil,51.0125,1.5041,English Channel,http://en.wikipedia.org/wiki/Channel_Tunnel,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Channel_Tunnel_NRM.jpg/220px-Channel_Tunnel_NRM.jpg,1988 AD
Delta Works (Zuiderzee Works),Civil,51.65,3.72, Netherlands,http://en.wikipedia.org/wiki/Delta_Works,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/OosterscheldeKering.jpg/220px-OosterscheldeKering.jpg,1986 AD
Panama Canal,Civil,9.08,-79.68,Panama,http://en.wikipedia.org/wiki/Panama_Canal,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Panama_Canal_Map_EN.png/288px-Panama_Canal_Map_EN.png,1881 AD
Empire State Building,Civil,40.74833333,-73.98555556,"New York, United States",http://en.wikipedia.org/wiki/Empire_State_Building,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Empire_State_Building_by_David_Shankbone_crop.jpg/250px-Empire_State_Building_by_David_Shankbone_crop.jpg,1930 AD
Itaipu Dam,Civil,-24.59194444,-54.58888889, Brazil,http://en.wikipedia.org/wiki/Itaipu_Dam,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/ItaipuAerea2AAL.jpg/250px-ItaipuAerea2AAL.jpg,1971 AD
Catacombs of Kom el Shoqafa,Medieval,31.178558,29.892954,"Alexandria, Egypt",http://en.wikipedia.org/wiki/Catacombs_of_Kom_el_Shoqafa,http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/113KOM_EL_SHOQAFA_CATACOMBS.jpg/220px-113KOM_EL_SHOQAFA_CATACOMBS.jpg, 215 AD
Great Wall of China,Medieval,40.67693,117.23193,China,http://en.wikipedia.org/wiki/Great_Wall_of_China,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/The_Great_Wall_of_China_at_Jinshanling.jpg/240px-The_Great_Wall_of_China_at_Jinshanling.jpg,700 BC
Colosseum,Medieval,41.89,12.49222222,"Rome, Italy",http://en.wikipedia.org/wiki/Colosseum,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Colosseum_in_Rome%2C_Italy_-_April_2007.jpg/250px-Colosseum_in_Rome%2C_Italy_-_April_2007.jpg,80 AD
Chichen Itza,New7Wonders Foundation,20.68277778,-88.56861111,"Yucatán, Mexico",http://en.wikipedia.org/wiki/Chichen_Itza,http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Chichen_Itza_3.jpg/800px-Chichen_Itza_3.jpg,600 AD
Leaning Tower of Pisa,Medieval,43.72305556,10.39638889,"Pisa PI, Italy",http://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa,http://upload.wikimedia.org/wikipedia/commons/thumb/6/66/The_Leaning_Tower_of_Pisa_SB.jpeg/250px-The_Leaning_Tower_of_Pisa_SB.jpeg,1173 AD
Porcelain Tower of Nanjing,Medieval,32.08027778,118.73,China,http://en.wikipedia.org/wiki/Porcelain_Tower_of_Nanjing,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/UB_Maastricht_-_Nieuhof_1665_-_Toren.jpg/220px-UB_Maastricht_-_Nieuhof_1665_-_Toren.jpg,1412 AD
Machu Picchu,New7Wonders Foundation,-12.83666667,-72.54555556,"Cuzco Region, Peru",http://en.wikipedia.org/wiki/Machu_Picchu,http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/80_-_Machu_Picchu_-_Juin_2009_-_edit.2.jpg/285px-80_-_Machu_Picchu_-_Juin_2009_-_edit.2.jpg,1450 AD
Christ the Redeemer (statue),New7Wonders Foundation,-21.04805556,-43.21055556,Brazil,http://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue),http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cristo_Redentor_Rio_de_Janeiro_4.jpg/640px-Cristo_Redentor_Rio_de_Janeiro_4.jpg,1922 AD
Colosseum,New7Wonders Foundation,41.89,12.49222222,"Rome, Italy",http://en.wikipedia.org/wiki/Colosseum,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Colosseum_in_Rome%2C_Italy_-_April_2007.jpg/250px-Colosseum_in_Rome%2C_Italy_-_April_2007.jpg,80 AD
Great Pyramid of Giza,New7Wonders Foundation,29.97916667,31.13416667,"Giza Necropolis, Egypt",http://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/300px-Kheops-Pyramid.jpg,2560 BC
Petra,New7Wonders Foundation,30.32861111,35.44194444,"Ma'an, Jordan",http://en.wikipedia.org/wiki/Petra,http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Al_Khazneh.jpg/640px-Al_Khazneh.jpg,312 BC
Taj Mahal,New7Wonders Foundation,27.175,78.04194444,"Agra, Uttar Pradesh, India",http://en.wikipedia.org/wiki/Taj_Mahal,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/800px-Taj_Mahal_%28Edited%29.jpeg,1643 AD
Great Wall of China,New7Wonders Foundation,40.67666667,117.2316667,China,http://en.wikipedia.org/wiki/Great_Wall_of_China,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/The_Great_Wall_of_China_at_Jinshanling.jpg/800px-The_Great_Wall_of_China_at_Jinshanling.jpg,700 BC
Paricutin,Seven Natural Wonders of the World,19.49277778,-102.2508333,Mexico,http://en.wikipedia.org/wiki/Par%C3%ADcutin,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Paricutin.jpg/280px-Paricutin.jpg,?
Grand Canyon,Seven Natural Wonders of the World,36.1,-112.1,"Arizona, United States",http://en.wikipedia.org/wiki/Grand_Canyon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Grand_Canyon_view_from_Pima_Point_2010.jpg/640px-Grand_Canyon_view_from_Pima_Point_2010.jpg,?
Aurora,Seven Natural Wonders of the World,80,0,Poles,http://en.wikipedia.org/wiki/Aurora,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Aurora_australis_20050911.jpg/220px-Aurora_australis_20050911.jpg,?
Guanabara Bay,Seven Natural Wonders of the World,-21.20972222,-43.15555556,Brazil,http://en.wikipedia.org/wiki/Guanabara_Bay,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Rio_deJaneiro_LE2002059_lrg.jpg/800px-Rio_deJaneiro_LE2002059_lrg.jpg,?
Victoria Falls,Seven Natural Wonders of the World,-16.07555556,25.85666667,Livingstone Zambia,http://en.wikipedia.org/wiki/Victoria_Falls,http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Victoriaf%C3%A4lle.jpg/220px-Victoriaf%C3%A4lle.jpg,?
Mount Everest,Seven Natural Wonders of the World,27.98805556,86.92527778,Nepal,http://en.wikipedia.org/wiki/Mount_Everest,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Mount_Everest_as_seen_from_Drukair2_PLW_edit.jpg/280px-Mount_Everest_as_seen_from_Drukair2_PLW_edit.jpg,?
Great Barrier Reef,Seven Natural Wonders of the World,-17.71388889,147.7,"Queensland, Australia",http://en.wikipedia.org/wiki/Great_Barrier_Reef,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Map_of_Great_Barrier_Reef_Demis.png/250px-Map_of_Great_Barrier_Reef_Demis.png,?
Hoover Dam,Seven Wonders of the Industrial World,36.01555556,-114.7377778,"Nevada, United States",http://en.wikipedia.org/wiki/Hoover_Dam,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Ansel_Adams_-_National_Archives_79-AAB-01.jpg/220px-Ansel_Adams_-_National_Archives_79-AAB-01.jpg,1931 AD
Panama Canal,Seven Wonders of the Industrial World,9.08,-79.68,Panama,http://en.wikipedia.org/wiki/Panama_Canal,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Panama_Canal_Map_EN.png/288px-Panama_Canal_Map_EN.png,1881 AD
Brooklyn Bridge,Seven Wonders of the Industrial World,40.70555556,-73.99638889,"New York, United States",http://en.wikipedia.org/wiki/Brooklyn_Bridge,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Brooklyn_Bridge_Postdlf.jpg/280px-Brooklyn_Bridge_Postdlf.jpg,1869 AD
Bell Rock Lighthouse,Seven Wonders of the Industrial World,56.43416667,-2.387222222,United Kingdom,http://en.wikipedia.org/wiki/Bell_Rock_Lighthouse,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Bell_Rock_Lighthouse.jpg/220px-Bell_Rock_Lighthouse.jpg,1807AD
SS Great Eastern,Seven Wonders of the Industrial World,51.48861111,-0.005555556,"London, England",http://en.wikipedia.org/wiki/SS_Great_Eastern,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Great_Eastern_1866-crop.jpg/800px-Great_Eastern_1866-crop.jpg,1858 AD
London sewerage system,Seven Wonders of the Industrial World,51.50722222,-0.105833333,"London, England",http://en.wikipedia.org/wiki/London_sewerage_system,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Hering_lon-sewer-det02_1882.jpg/800px-Hering_lon-sewer-det02_1882.jpg,1858 AD
First Transcontinental Railroad,Seven Wonders of the Industrial World,41.27638889,95.86666667,United States,http://en.wikipedia.org/wiki/First_Transcontinental_Railroad,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/69workmen.jpg/800px-69workmen.jpg,1869 AD
Maya civilization,USA Today's New Seven Wonders,20.68277778,-88.56861111,Mexico,http://en.wikipedia.org/wiki/Maya_civilization,http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Chichen_Itza_3.jpg/800px-Chichen_Itza_3.jpg,2600 BC
Papah?naumoku?kea Marine National Monument,USA Today's New Seven Wonders,25.7,-171.7333333," Honolulu County, Hawaii ,United States ",http://en.wikipedia.org/wiki/Papah%C4%81naumoku%C4%81kea_Marine_National_Monument,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/NHINM.png/284px-NHINM.png,?
Grand Canyon,USA Today's New Seven Wonders,36.1,-112.1,"Arizona, United States",http://en.wikipedia.org/wiki/Grand_Canyon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Grand_Canyon_view_from_Pima_Point_2010.jpg/640px-Grand_Canyon_view_from_Pima_Point_2010.jpg,?
Polar ice cap,USA Today's New Seven Wonders,89.9999,0,Poles,http://en.wikipedia.org/wiki/Polar_ice_cap#Earth,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Noaa3-2006-0602-1206.jpg/220px-Noaa3-2006-0602-1206.jpg,?
Old City (Jerusalem),USA Today's New Seven Wonders,31.77666667,35.23416667,Israel,http://en.wikipedia.org/wiki/Old_City_(Jerusalem),http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Old_City_%28Jerusalem%29.jpg/250px-Old_City_%28Jerusalem%29.jpg,?
Maasai Mara,USA Today's New Seven Wonders,-0.51,35.14388889,"Narok County, Kenya",http://en.wikipedia.org/wiki/Maasai_Mara,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Maasai-Mara-Typical-Scenery.JPG/800px-Maasai-Mara-Typical-Scenery.JPG,1961 AD
Potala Palace,USA Today's New Seven Wonders,29.65777778,91.11694444,"Lhasa, Tibet",http://en.wikipedia.org/wiki/Potala_Palace,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg/220px-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg,1645 AD
